Customer_ID,Gender,Age,Emirate,Foot_Length_cm,Foot_Width_cm,Arch_Height,Shoe_Size_UAE,Preferred_Style,Color_Preference,Customization_Option,Material_Preference,Shopping_Channel,Virtual_TryOn_Score,Ordered,Delivery_Time_days,Fit_Satisfaction_Score,Comfort_Score,Return_Flag,Plus_Size
15,F,51,Dubai,26.5,10.5,High,39,Boots,Blue,None,Leather,Offline,0.89,Y,8,5,5,N,N
16,M,48,Ras Al Khaimah,24.4,10.8,Normal,38,Sneakers,Blue,Initials,Leather,Online,0.97,Y,8,5,5,N,N
17,F,19,Dubai,23.0,9.1,Normal,36,Heels,Beige,None,Canvas,Online,0.92,Y,9,4,4,N,N
18,F,33,Dubai,23.4,8.9,Normal,38,Sandals,Green,Initials,Synthetic,Offline,0.97,Y,4,3,3,N,N
19,M,50,Ajman,29.9,11.1,Normal,45,Boots,Black,Glitter,Canvas,Offline,0.85,Y,9,5,1,Y,Y
20,M,18,Abu Dhabi,26.0,10.9,Normal,39,Heels,Gold,Vegan Material,Synthetic,Online,0.91,Y,9,5,5,N,N
21,M,39,Dubai,27.0,12.7,Low,37,Sneakers,Gold,Glitter,Vegan,Offline,0.98,Y,4,4,4,N,N
22,F,22,Sharjah,23.0,10.1,High,36,Boots,Brown,Vegan Material,Vegan,Online,0.83,Y,5,2,2,N,N
23,F,46,Dubai,24.9,9.4,Low,39,Loafers,Black,Wide Fit,Mesh,Online,0.87,Y,10,4,4,N,N
24,M,27,Abu Dhabi,26.6,12.7,Normal,41,Boots,Black,Initials,Synthetic,Online,0.94,Y,5,5,5,N,N
25,F,42,Dubai,24.1,10.3,Low,37,Boots,Blue,Glitter,Synthetic,Online,0.92,Y,7,4,4,N,N
26,F,59,Ras Al Khaimah,24.3,10.0,Normal,39,Boots,Green,None,Mesh,Offline,0.97,Y,10,5,5,N,N
27,F,22,Abu Dhabi,25.2,8.9,High,38,Sneakers,Brown,Wide Fit,Mesh,Online,0.96,Y,5,5,5,N,N
28,M,30,Abu Dhabi,28.4,12.5,Normal,42,Sneakers,Pink,None,Synthetic,Online,0.88,Y,3,3,3,N,N
29,F,49,Abu Dhabi,24.1,9.7,High,37,Sandals,Brown,Embroidery,Leather,Online,0.86,N,8,4,4,N,N
30,M,29,Ras Al Khaimah,28.1,11.1,Low,40,Heels,Silver,Initials,Mesh,Online,0.87,Y,6,5,5,N,N
31,M,34,Dubai,31.0,10.0,Normal,44,Heels,Green,Glitter,Vegan,Online,0.83,Y,8,3,3,N,Y
32,M,38,Sharjah,28.8,12.1,Normal,41,Sneakers,Black,Embroidery,Leather,Online,0.82,Y,7,1,1,Y,N
33,F,54,Sharjah,22.5,9.4,Normal,35,Boots,Red,None,Vegan,Online,0.82,Y,4,5,5,N,N
34,M,18,Abu Dhabi,25.6,12.0,Normal,39,Heels,Gold,Vegan Material,Canvas,Online,0.83,Y,8,4,4,N,N
35,F,51,Dubai,26.8,9.8,Normal,41,Heels,Brown,Glitter,Leather,Online,0.85,Y,4,4,4,N,Y
36,M,60,Dubai,28.2,11.5,Normal,40,Sneakers,Blue,None,Canvas,Online,0.83,Y,5,3,3,N,N
37,M,39,Dubai,27.3,10.4,Normal,40,Heels,Green,Embroidery,Leather,Online,0.9,Y,10,5,5,N,N
38,F,52,Dubai,21.1,9.5,Normal,33,Loafers,Pink,Vegan Material,Vegan,Online,0.81,Y,9,4,4,N,N
39,F,35,Abu Dhabi,22.1,9.9,Normal,35,Sneakers,Red,Initials,Vegan,Online,0.85,Y,3,4,4,N,N
40,M,53,Abu Dhabi,27.4,12.4,Normal,41,Sandals,Beige,Wide Fit,Mesh,Online,0.91,Y,7,5,5,N,N
41,M,38,Dubai,26.2,10.8,Normal,38,Sneakers,Pink,Embroidery,Synthetic,Offline,0.82,Y,6,3,1,Y,N
42,F,19,Abu Dhabi,23.7,8.8,Normal,37,Sports,Beige,Wide Fit,Canvas,Online,0.95,Y,3,4,4,N,N
43,F,28,Fujairah,25.8,8.8,Normal,41,Loafers,Black,Wide Fit,Vegan,Online,0.83,Y,3,4,4,N,Y
44,M,47,Dubai,23.6,11.6,Normal,37,Heels,Silver,None,Vegan,Online,0.81,Y,8,5,5,N,N
45,F,54,Dubai,24.0,9.6,Normal,37,Boots,Green,None,Leather,Online,0.89,Y,10,5,5,N,N
46,F,32,Abu Dhabi,27.6,9.1,Normal,39,Heels,Silver,Initials,Canvas,Online,0.87,Y,4,5,5,N,N
47,F,47,Fujairah,23.8,10.0,Normal,38,Sports,Brown,Vegan Material,Vegan,Online,0.95,Y,7,5,5,N,N
48,M,32,Ajman,25.8,10.9,Normal,38,Loafers,Blue,None,Mesh,Online,0.92,Y,8,3,3,N,N
49,M,43,Fujairah,28.1,10.3,Normal,41,Boots,Brown,None,Synthetic,Offline,0.94,Y,6,5,3,N,N
50,F,57,Ajman,24.6,9.4,Normal,37,Sneakers,Red,None,Canvas,Online,0.88,Y,3,5,5,N,N
51,F,52,Abu Dhabi,25.7,9.8,Normal,40,Sneakers,Blue,Initials,Leather,Online,0.88,Y,3,4,4,N,N
52,M,38,Abu Dhabi,25.9,11.2,Normal,39,Sports,Silver,Glitter,Leather,Online,0.88,Y,10,3,3,N,N
53,M,46,Abu Dhabi,26.1,11.3,Normal,40,Boots,Red,Glitter,Canvas,Online,0.84,Y,9,4,4,N,N
54,F,51,Abu Dhabi,20.5,10.4,Low,35,Sandals,Silver,Initials,Synthetic,Online,0.87,Y,5,4,4,N,N
55,M,49,Ras Al Khaimah,30.0,11.5,High,41,Loafers,Pink,Vegan Material,Leather,Online,0.81,Y,6,4,4,N,N
56,F,22,Dubai,23.1,9.4,Normal,35,Boots,Brown,Vegan Material,Leather,Online,0.86,Y,8,4,3,N,N
57,F,49,Abu Dhabi,27.7,10.2,Normal,41,Boots,Beige,Vegan Material,Synthetic,Online,0.94,Y,10,5,5,N,Y
58,M,34,Abu Dhabi,27.1,12.6,Low,40,Sports,Gold,Wide Fit,Canvas,Online,0.92,Y,9,4,4,N,N
59,M,19,Dubai,26.8,11.4,Normal,39,Sandals,Brown,None,Canvas,Offline,0.88,N,8,4,4,N,N
60,M,37,Dubai,24.7,11.4,High,38,Sandals,Black,Vegan Material,Vegan,Online,0.82,Y,3,4,4,N,N
61,M,52,Ajman,28.8,12.0,Normal,40,Boots,Red,Initials,Vegan,Online,0.9,Y,10,3,3,N,N
62,F,40,Sharjah,26.2,9.8,High,39,Boots,Beige,Embroidery,Vegan,Online,0.94,Y,9,4,4,N,N
63,M,32,Sharjah,28.4,11.0,High,41,Sports,Brown,None,Vegan,Online,0.93,Y,10,5,2,N,N
64,F,43,Sharjah,25.5,9.7,Normal,38,Heels,White,Wide Fit,Vegan,Online,0.89,Y,4,5,5,N,N
65,M,30,Abu Dhabi,26.5,12.3,Normal,40,Sneakers,Beige,Embroidery,Mesh,Online,0.85,Y,8,5,5,N,N
66,F,54,Dubai,25.0,8.6,Normal,37,Boots,Beige,None,Synthetic,Online,0.88,Y,8,4,4,N,N
67,F,24,Ras Al Khaimah,26.3,10.8,Normal,39,Loafers,Green,Initials,Canvas,Offline,0.96,Y,9,3,3,N,N
68,F,59,Abu Dhabi,23.7,9.9,High,37,Sandals,White,Vegan Material,Synthetic,Online,0.92,Y,4,5,5,N,N
69,M,46,Umm Al Quwain,28.6,12.1,Normal,41,Sports,Silver,None,Vegan,Online,0.99,Y,6,5,5,N,N
70,M,49,Abu Dhabi,25.9,11.3,Normal,40,Sandals,Red,None,Canvas,Offline,0.85,Y,10,4,4,N,N
71,F,59,Dubai,23.1,10.2,High,36,Loafers,Beige,None,Synthetic,Online,0.83,Y,8,4,4,N,N
72,M,30,Abu Dhabi,28.6,11.2,Normal,42,Boots,Silver,None,Canvas,Online,0.91,N,9,5,5,N,N
73,M,21,Dubai,28.5,10.7,Normal,41,Sandals,Black,None,Synthetic,Online,0.93,Y,6,5,3,N,N
74,M,40,Abu Dhabi,27.4,10.0,Normal,38,Heels,Brown,None,Mesh,Online,0.85,N,6,5,5,N,N
75,F,54,Sharjah,22.2,9.4,High,36,Loafers,Blue,Embroidery,Leather,Online,0.91,Y,5,2,1,Y,N
76,M,44,Ajman,27.1,11.7,Low,41,Heels,Silver,None,Canvas,Online,0.89,Y,9,5,5,N,N
77,M,55,Dubai,28.4,10.4,Normal,40,Heels,Red,Embroidery,Vegan,Online,0.88,N,8,5,5,N,N
78,F,55,Fujairah,27.4,10.4,Low,41,Boots,Green,Vegan Material,Mesh,Online,0.91,Y,6,5,5,N,Y
79,F,47,Dubai,24.2,9.4,Low,39,Loafers,Black,Embroidery,Mesh,Online,0.93,Y,8,4,4,N,N
80,F,58,Sharjah,25.5,10.0,Normal,39,Sports,Pink,None,Mesh,Online,0.96,Y,9,4,4,N,N
81,M,29,Dubai,25.4,10.8,Normal,38,Loafers,White,None,Synthetic,Offline,0.99,Y,4,5,5,N,N
82,M,32,Dubai,31.8,12.1,Normal,45,Heels,Silver,Glitter,Mesh,Online,0.95,Y,4,3,3,N,Y
83,M,51,Abu Dhabi,24.2,10.7,Normal,39,Sneakers,Blue,None,Mesh,Offline,0.84,Y,8,4,4,N,N
84,M,58,Dubai,30.3,11.1,Normal,44,Sneakers,Brown,Vegan Material,Leather,Online,0.99,Y,7,5,5,N,Y
85,F,53,Ras Al Khaimah,22.2,9.6,Low,35,Loafers,Green,Glitter,Mesh,Online,0.99,Y,8,5,5,N,N
86,M,29,Abu Dhabi,24.9,11.5,Normal,38,Sports,Brown,Wide Fit,Vegan,Online,0.85,Y,3,5,5,N,N
87,F,22,Dubai,27.1,10.3,Normal,42,Sports,Black,Wide Fit,Synthetic,Offline,0.89,Y,4,5,5,N,Y
88,M,33,Fujairah,27.1,10.6,Normal,41,Heels,White,None,Vegan,Online,1.0,Y,8,4,4,N,N
89,F,57,Sharjah,24.8,9.6,High,38,Sports,Gold,None,Leather,Online,0.93,N,8,5,5,N,N
90,F,30,Ajman,24.7,10.8,High,38,Heels,White,Wide Fit,Canvas,Offline,0.95,Y,5,3,3,N,N
91,M,24,Dubai,25.3,10.0,Normal,37,Sneakers,Red,Initials,Leather,Online,0.8,Y,10,4,4,N,N
92,M,20,Abu Dhabi,30.6,9.9,Normal,44,Sandals,Pink,None,Vegan,Online,0.9,Y,5,5,5,N,Y
93,F,42,Sharjah,22.7,9.5,Normal,35,Boots,Gold,Wide Fit,Canvas,Offline,0.91,Y,4,4,4,N,N
94,M,21,Ajman,26.6,10.4,High,40,Heels,Pink,Wide Fit,Leather,Online,0.85,N,6,5,5,N,N
95,M,59,Dubai,32.6,11.5,Normal,45,Sneakers,Beige,None,Leather,Online,0.96,Y,5,3,3,N,Y
96,F,36,Abu Dhabi,25.2,11.1,Normal,37,Sandals,Black,Glitter,Synthetic,Online,0.8,Y,6,5,5,N,N
97,M,30,Abu Dhabi,28.1,11.2,Low,40,Sports,Pink,None,Canvas,Offline,0.83,Y,4,5,5,N,N
98,F,53,Dubai,27.0,9.1,Normal,39,Boots,Red,None,Mesh,Offline,0.85,Y,8,4,4,N,N
99,M,20,Dubai,27.2,10.8,Normal,40,Boots,Silver,Vegan Material,Vegan,Offline,0.84,Y,3,5,5,N,N
100,M,33,Dubai,27.7,9.3,Low,40,Sandals,Silver,Embroidery,Mesh,Offline,0.91,Y,7,5,5,N,N
101,F,49,Dubai,25.3,10.1,Normal,38,Heels,Black,None,Leather,Online,0.97,Y,4,4,4,N,N
102,F,60,Abu Dhabi,22.5,8.6,Normal,37,Sneakers,Beige,Vegan Material,Synthetic,Online,0.98,Y,8,5,5,N,N
103,F,32,Abu Dhabi,25.3,9.3,Normal,38,Sneakers,Black,Initials,Leather,Offline,0.9,Y,8,3,3,N,N
104,F,23,Dubai,24.8,9.4,Low,38,Sneakers,Brown,Embroidery,Mesh,Offline,0.89,Y,8,3,3,N,N
105,F,49,Dubai,26.8,10.5,Normal,39,Sandals,Black,Embroidery,Leather,Online,0.83,Y,6,5,4,N,N
106,F,21,Ras Al Khaimah,24.4,10.1,Normal,39,Boots,Brown,Vegan Material,Vegan,Online,0.98,Y,7,5,5,N,N
107,M,24,Sharjah,26.3,9.1,Low,40,Loafers,Silver,Vegan Material,Leather,Online,0.97,Y,7,4,4,N,N
108,M,52,Dubai,25.9,11.2,Normal,41,Heels,Beige,Embroidery,Vegan,Online,0.95,Y,3,4,4,N,N
109,M,59,Fujairah,29.8,10.3,Normal,43,Loafers,Silver,Glitter,Canvas,Online,0.88,Y,3,4,5,N,N
110,M,49,Ras Al Khaimah,26.5,10.7,Low,39,Sandals,Red,Embroidery,Canvas,Online,0.99,Y,4,5,5,N,N
111,F,36,Sharjah,23.8,9.5,Low,38,Loafers,White,Embroidery,Mesh,Offline,0.96,Y,3,5,5,N,N
112,M,21,Sharjah,28.9,11.6,Low,44,Loafers,Beige,None,Mesh,Online,0.82,Y,10,4,4,N,Y
113,F,28,Dubai,24.8,9.3,Low,39,Loafers,Green,Initials,Mesh,Online,0.82,Y,8,5,5,N,N
114,F,47,Umm Al Quwain,21.3,10.3,Normal,33,Sports,Silver,Vegan Material,Mesh,Online,0.86,Y,3,2,2,Y,N
115,F,44,Ras Al Khaimah,22.7,9.8,Normal,37,Sneakers,Silver,Vegan Material,Canvas,Online,0.82,Y,3,4,2,Y,N
116,F,22,Umm Al Quwain,23.8,9.3,High,36,Loafers,Green,Vegan Material,Canvas,Online,0.87,Y,6,4,4,N,N
117,F,29,Sharjah,22.3,9.1,Low,36,Heels,Beige,Wide Fit,Synthetic,Online,0.96,Y,4,5,5,N,N
118,F,38,Dubai,23.9,9.6,Normal,36,Sneakers,Pink,None,Synthetic,Online,0.81,Y,9,4,2,Y,N
119,F,36,Abu Dhabi,26.2,9.4,Normal,39,Heels,Brown,Embroidery,Leather,Online,0.82,Y,5,4,4,N,N
120,F,50,Abu Dhabi,26.7,10.5,Low,40,Sports,Pink,Vegan Material,Synthetic,Online,0.87,Y,7,4,4,N,N
121,F,23,Abu Dhabi,25.0,9.7,Normal,39,Heels,Gold,Glitter,Synthetic,Online,0.9,Y,6,5,5,N,N
122,F,41,Sharjah,24.2,9.4,Normal,38,Boots,Green,None,Leather,Offline,0.81,Y,8,5,5,N,N
123,M,31,Dubai,29.3,10.6,Normal,42,Boots,Black,None,Leather,Online,0.86,Y,8,3,3,N,N
124,F,32,Umm Al Quwain,24.5,10.5,Normal,37,Sports,Green,Glitter,Synthetic,Online,0.93,Y,10,5,5,N,N
125,F,29,Dubai,23.4,9.3,High,37,Heels,Black,Glitter,Canvas,Online,0.94,Y,8,5,5,N,N
126,M,22,Fujairah,32.8,11.5,Normal,47,Sandals,Pink,Vegan Material,Mesh,Online,1.0,Y,3,5,5,N,Y
127,M,21,Sharjah,24.6,11.3,High,37,Loafers,Beige,Vegan Material,Vegan,Online,0.89,Y,3,5,5,N,N
128,M,40,Ajman,24.4,12.2,High,37,Boots,Beige,Embroidery,Mesh,Offline,0.92,Y,9,4,2,Y,N
129,F,29,Dubai,22.2,10.6,High,35,Boots,Red,Embroidery,Synthetic,Online,0.96,Y,8,4,1,N,N
130,F,33,Ras Al Khaimah,22.6,9.2,Normal,36,Loafers,Brown,None,Vegan,Online,0.83,Y,3,5,4,N,N
131,F,22,Ras Al Khaimah,22.6,9.2,High,36,Sneakers,Black,None,Mesh,Online,0.85,Y,6,5,5,N,N
132,M,43,Dubai,26.6,10.7,Normal,39,Loafers,Beige,Vegan Material,Leather,Offline,0.89,N,5,5,5,N,N
133,M,52,Sharjah,26.7,11.6,Normal,41,Boots,Beige,Glitter,Synthetic,Online,0.86,Y,8,3,3,N,N
134,F,30,Fujairah,22.5,10.3,Low,36,Sandals,Black,Glitter,Mesh,Online,0.83,Y,9,5,5,N,N
135,M,41,Dubai,28.6,11.9,Normal,42,Sneakers,Pink,Vegan Material,Canvas,Offline,0.82,Y,7,5,5,N,N
136,M,50,Abu Dhabi,27.8,11.8,Normal,39,Sandals,Green,Embroidery,Mesh,Offline,0.98,Y,8,3,5,N,N
137,F,47,Abu Dhabi,25.8,9.4,Normal,38,Heels,Blue,Glitter,Synthetic,Online,0.98,Y,3,5,5,N,N
138,M,40,Abu Dhabi,29.1,10.7,Normal,40,Sneakers,Blue,None,Synthetic,Online,0.99,Y,3,4,4,N,N
139,F,45,Dubai,23.2,9.2,Normal,37,Loafers,Red,Embroidery,Vegan,Offline,0.85,Y,3,5,5,N,N
140,M,52,Abu Dhabi,27.1,13.2,Normal,39,Sneakers,Red,Initials,Canvas,Offline,0.86,Y,7,4,4,N,N
141,M,58,Abu Dhabi,27.9,10.6,Low,41,Sneakers,Pink,Glitter,Canvas,Online,0.89,Y,7,5,5,N,N
142,M,25,Sharjah,23.2,11.9,Normal,35,Loafers,Pink,None,Synthetic,Online,0.93,Y,7,3,4,N,N
143,F,19,Sharjah,25.4,10.5,Low,40,Sneakers,Red,Glitter,Canvas,Online,0.99,Y,3,4,4,N,N
144,F,31,Sharjah,27.8,9.9,High,42,Boots,White,Embroidery,Vegan,Online,0.97,N,4,5,5,N,Y
145,M,18,Dubai,29.1,11.0,Normal,42,Sneakers,White,None,Canvas,Online,0.93,Y,7,3,3,N,N
146,M,49,Ajman,24.5,9.7,Normal,37,Loafers,Green,Embroidery,Mesh,Online,0.87,Y,7,4,1,Y,N
147,M,46,Abu Dhabi,30.0,10.8,Normal,44,Boots,White,Glitter,Mesh,Online,0.99,Y,10,4,4,N,Y
148,M,44,Dubai,27.7,11.1,Normal,41,Sports,Gold,Wide Fit,Synthetic,Offline,0.87,Y,5,3,3,N,N
149,F,46,Dubai,24.3,10.1,Normal,38,Heels,Green,Vegan Material,Vegan,Online,0.85,Y,5,5,5,N,N
150,M,38,Dubai,23.4,9.6,Normal,37,Heels,Blue,Initials,Vegan,Online,0.88,N,6,5,5,N,N
151,F,36,Dubai,23.8,9.7,Normal,35,Sandals,Gold,Vegan Material,Synthetic,Online,0.81,Y,9,5,5,N,N
152,M,29,Ras Al Khaimah,28.0,11.2,Low,42,Boots,White,Vegan Material,Vegan,Online,0.9,Y,9,5,5,N,N
153,M,34,Umm Al Quwain,27.4,11.4,Normal,41,Heels,Blue,Initials,Leather,Online,0.8,Y,3,3,3,N,N
154,M,30,Ras Al Khaimah,30.5,11.8,Normal,43,Sports,White,None,Vegan,Online,0.86,Y,4,5,5,N,N
155,F,47,Dubai,23.7,10.3,Low,37,Sneakers,Gold,Embroidery,Synthetic,Offline,0.96,Y,5,4,1,N,N
156,M,21,Abu Dhabi,28.5,11.0,Low,41,Boots,Black,Embroidery,Canvas,Online,0.86,Y,9,3,3,N,N
157,M,19,Dubai,24.3,10.6,Normal,38,Sports,Silver,Glitter,Canvas,Online,0.92,Y,3,4,4,N,N
158,F,36,Sharjah,23.6,8.0,Normal,37,Sports,Brown,Vegan Material,Vegan,Online,0.94,Y,10,5,5,N,N
159,M,40,Sharjah,25.3,10.9,High,39,Sneakers,Red,Wide Fit,Leather,Online,0.81,Y,8,3,3,N,N
160,M,23,Dubai,29.1,10.5,Low,43,Sneakers,Blue,Vegan Material,Vegan,Online,0.96,Y,7,5,5,N,N
161,F,54,Dubai,24.6,9.5,High,38,Heels,Gold,None,Synthetic,Offline,0.95,N,9,2,2,Y,N
162,F,54,Dubai,25.9,10.0,Normal,39,Sneakers,Blue,Glitter,Vegan,Online,0.95,Y,9,4,4,N,N
163,F,48,Sharjah,25.9,9.6,Normal,40,Heels,Black,Glitter,Mesh,Online,0.86,Y,7,4,4,N,N
164,F,38,Dubai,25.4,9.5,Low,38,Loafers,Gold,Wide Fit,Synthetic,Online,0.85,Y,4,5,2,Y,N
165,F,55,Abu Dhabi,24.4,9.8,Normal,37,Sports,Red,Wide Fit,Mesh,Online,0.84,Y,6,5,3,N,N
166,M,58,Dubai,28.6,12.0,Normal,41,Boots,Green,Wide Fit,Canvas,Online,0.91,Y,5,5,5,N,N
167,F,42,Dubai,23.8,9.6,High,37,Loafers,Pink,None,Mesh,Offline,0.99,Y,10,4,4,N,N
168,F,39,Dubai,24.7,9.4,Low,37,Loafers,Green,None,Synthetic,Online,1.0,Y,6,5,5,N,N
169,M,55,Dubai,29.5,11.1,Normal,41,Loafers,White,Vegan Material,Synthetic,Offline,0.99,Y,8,4,4,N,N
170,F,30,Abu Dhabi,24.3,10.5,Normal,37,Heels,Red,Initials,Canvas,Offline,0.97,Y,8,5,5,N,N
171,M,43,Abu Dhabi,27.1,10.0,High,40,Loafers,Beige,Embroidery,Mesh,Offline,0.98,Y,5,5,5,N,N
172,F,25,Dubai,23.6,10.9,Normal,36,Sneakers,Pink,None,Mesh,Online,0.95,Y,3,3,3,N,N
173,M,45,Dubai,25.0,11.7,Normal,38,Sandals,White,Glitter,Leather,Online,0.98,Y,6,5,5,N,N
174,F,18,Dubai,25.6,9.4,Normal,40,Heels,Blue,Embroidery,Canvas,Online,0.92,N,7,4,4,N,N
175,F,18,Dubai,22.2,9.8,Low,35,Heels,Brown,Vegan Material,Canvas,Online,0.89,Y,5,5,5,N,N
176,F,24,Ajman,25.5,10.7,Normal,38,Boots,Black,Initials,Synthetic,Online,0.86,Y,8,5,4,N,N
177,M,52,Abu Dhabi,30.0,10.9,Normal,44,Loafers,Brown,Initials,Leather,Online,0.81,Y,7,5,1,Y,Y
178,M,23,Dubai,25.4,10.3,Normal,37,Sandals,White,None,Mesh,Online,0.95,Y,3,3,3,N,N
179,M,54,Sharjah,26.6,11.6,Normal,41,Sneakers,Pink,Vegan Material,Vegan,Online,0.85,Y,3,2,1,Y,N
180,F,42,Dubai,21.9,10.7,Normal,35,Sandals,Brown,None,Vegan,Online,0.94,Y,3,5,5,N,N
181,F,34,Dubai,25.5,9.1,Normal,39,Heels,Pink,Vegan Material,Leather,Online,0.83,Y,10,3,3,N,N
182,F,57,Ajman,23.8,10.4,Low,37,Sandals,Blue,None,Leather,Offline,0.81,Y,5,4,3,N,N
183,F,33,Dubai,22.8,9.2,High,37,Sports,Silver,None,Vegan,Offline,0.98,Y,10,5,4,N,N
184,M,28,Dubai,28.7,11.7,Normal,42,Boots,Gold,Embroidery,Canvas,Online,0.82,Y,8,5,4,N,N
185,F,37,Sharjah,22.7,10.1,Normal,35,Heels,Silver,Wide Fit,Vegan,Offline,0.8,Y,4,5,5,N,N
186,M,58,Sharjah,28.0,10.7,Normal,43,Boots,Pink,Wide Fit,Vegan,Online,0.95,Y,10,4,4,N,N
187,F,56,Dubai,27.1,9.4,Normal,40,Heels,Black,None,Canvas,Online,0.94,Y,3,4,4,N,N
188,M,21,Fujairah,25.7,11.0,Normal,39,Loafers,Green,Embroidery,Leather,Online,0.92,Y,6,2,2,N,N
189,F,49,Sharjah,24.5,9.7,Low,38,Boots,Brown,Glitter,Leather,Online,1.0,Y,5,4,4,N,N
190,F,57,Sharjah,24.8,9.2,Normal,36,Sneakers,Black,Wide Fit,Vegan,Offline,0.88,Y,9,4,4,N,N
191,F,18,Dubai,23.9,10.7,Normal,36,Boots,Red,None,Leather,Online,0.96,Y,4,5,5,N,N
192,M,53,Abu Dhabi,29.6,11.5,Normal,42,Sports,Beige,Embroidery,Mesh,Online,0.88,Y,10,2,3,Y,N
193,F,18,Fujairah,24.6,9.2,Normal,38,Sandals,Blue,None,Leather,Online,0.85,Y,9,5,5,N,N
194,M,41,Ajman,28.6,11.6,High,41,Boots,Beige,Wide Fit,Vegan,Offline,0.98,Y,3,5,5,N,N
195,M,58,Umm Al Quwain,29.3,11.6,High,42,Sports,Green,Initials,Synthetic,Online,0.94,Y,10,5,5,N,N
196,F,23,Ajman,26.9,10.0,Normal,38,Sports,Beige,None,Vegan,Online,0.82,Y,3,5,5,N,N
197,M,36,Dubai,28.4,12.4,High,43,Sneakers,Blue,None,Vegan,Online,0.9,Y,8,4,5,N,N
198,F,46,Abu Dhabi,23.7,9.8,Low,37,Loafers,Red,None,Vegan,Online,0.88,Y,3,3,3,N,N
199,M,46,Abu Dhabi,25.3,11.9,Low,39,Sneakers,Green,None,Leather,Online,0.87,Y,8,4,4,N,N
200,M,32,Abu Dhabi,31.0,11.1,Normal,43,Sandals,Black,Embroidery,Mesh,Online,0.95,Y,6,4,2,Y,N
201,F,37,Ras Al Khaimah,21.7,10.2,Normal,33,Sandals,Pink,Wide Fit,Canvas,Online,0.81,Y,10,5,5,N,N
202,F,26,Dubai,22.3,10.2,Normal,36,Sneakers,Brown,None,Vegan,Online,0.9,Y,10,4,5,N,N
203,M,46,Abu Dhabi,25.0,12.2,Normal,38,Sandals,Gold,None,Mesh,Offline,0.91,Y,6,5,5,N,N
204,M,25,Abu Dhabi,26.1,11.5,High,38,Sports,Beige,Glitter,Leather,Online,0.83,Y,9,4,4,N,N
205,M,55,Abu Dhabi,30.1,11.8,Normal,44,Heels,Beige,Wide Fit,Canvas,Online,0.85,Y,9,3,3,N,Y
206,F,41,Dubai,24.7,9.2,Normal,39,Sneakers,Gold,Initials,Synthetic,Offline,0.85,Y,10,3,3,N,N
207,M,57,Sharjah,31.3,10.6,Low,45,Heels,White,Embroidery,Mesh,Offline,0.99,Y,7,3,3,N,Y
208,M,32,Dubai,28.7,11.3,High,42,Heels,Blue,Glitter,Mesh,Online,0.85,Y,8,3,3,N,N
209,M,32,Abu Dhabi,24.0,10.0,Normal,37,Sandals,Black,None,Canvas,Online,0.91,Y,5,2,2,Y,N
210,M,38,Ras Al Khaimah,26.3,12.1,Normal,40,Sneakers,Black,Wide Fit,Vegan,Online,0.99,Y,9,4,4,N,N
211,F,27,Abu Dhabi,25.6,10.2,Normal,37,Sports,Black,Embroidery,Leather,Online,0.94,Y,8,4,4,N,N
212,F,43,Abu Dhabi,27.9,9.9,Normal,40,Boots,White,Vegan Material,Mesh,Online,0.81,Y,10,5,5,N,N
